"eta","max_depth","gamma","colsample_bytree","min_child_weight","subsample","nrounds","mae_valid_mean","mae_valid_sd"
0.05,2,0.001,0.75,40,0.66,1000,146889536.643755,11769661.8977417
0.05,2,0.001,0.66,40,0.66,1000,146900717.118153,12441197.9076894
0.05,2,0.01,0.66,40,0.75,1000,146915591.829726,11976689.973648
0.05,2,0.1,0.75,40,0.75,1000,146925501.624909,12673936.4753116
0.05,2,0,0.66,40,0.66,1000,146996812.276068,12227172.9738832
0.05,2,0.01,0.66,20,0.66,1000,147039234.572817,12926700.8383599
0.05,2,0.001,0.75,20,0.75,1000,147042186.827775,11867452.9665193
0.05,2,0.001,0.66,20,0.66,1000,147061998.66708,12622271.1722401
0.05,2,0.1,0.75,40,0.66,1000,147074332.270596,12079663.7675986
0.05,2,0.001,0.75,20,0.66,1000,147086790.88663,12282427.6883364
0.05,2,0.001,0.75,40,0.75,1000,147135172.614894,12127692.2476902
0.01,4,0.1,0.75,20,0.66,500,147654847.745384,11468452.1710569
0.01,4,0.01,0.75,20,0.75,500,147887685.183232,11448418.3919781
0.01,4,0.1,0.66,20,0.66,500,147933451.350996,11909478.3479355
0.01,4,0.01,0.66,20,0.66,500,147951276.93479,12003496.46748
0.01,4,0.001,0.75,20,0.75,500,147966756.646,11776021.7500714
0.01,4,0.1,0.75,40,0.66,500,147977786.761137,11820895.2140336
0.01,4,0.01,0.75,20,0.66,500,147985826.081741,11780284.383851
0.01,4,0,0.75,40,0.66,500,147997570.856255,11588543.9508961
0.01,4,0.01,0.75,40,0.66,500,148042927.886688,11609463.079219
0.01,4,0,0.66,20,0.66,500,148050901.312136,12084387.7262379
0.01,4,0.001,0.75,20,0.66,500,148060865.597349,11688480.6986636
0.01,4,0.01,0.66,20,0.75,500,148097423.724058,11774457.6101241
0.01,4,0.001,0.75,40,0.75,500,148099876.332516,11566974.890142
0.01,4,0.1,0.75,20,0.75,500,148105818.355131,11603531.6145974
0.01,4,0.1,0.75,40,0.75,500,148111775.828992,11794530.871671
0.01,4,0,0.75,20,0.75,500,148121893.874365,11622599.984829
0.01,4,0.001,0.75,40,0.66,500,148150588.440427,11593786.3701431
0.01,4,0.001,0.66,40,0.66,500,148185655.807959,12239780.7413488
