"eta","max_depth","gamma","colsample_bytree","min_child_weight","subsample","nrounds","mae_valid_mean","mae_valid_sd"
0.01,4,0.001,0.75,20,0.66,500,138548735.350096,861709.19778877
0.01,4,0,0.75,40,0.66,500,138557444.588562,865655.760556967
0.01,4,0,0.75,20,0.75,500,138564318.989355,1106330.06759574
0.01,4,0.1,0.75,40,0.66,500,138573823.644045,786920.878098354
0.01,4,0.1,0.66,20,0.75,500,138600979.774968,887437.530589176
0.01,4,0.01,0.66,20,0.66,500,138612072.892841,1001076.59377504
0.01,4,0.001,0.75,40,0.66,500,138618266.74909,987040.118865614
0.01,4,0,0.75,40,0.75,500,138620550.062102,968943.513299973
0.01,4,0.001,0.75,40,0.75,500,138654103.707496,941002.748580404
0.01,4,0.01,0.75,40,0.66,500,138659014.945511,1115493.46300427
0.01,4,0.01,0.75,40,0.75,500,138672342.239148,1097976.07666323
0.01,4,0.1,0.75,40,0.75,500,138690926.849114,1015905.75571345
0.01,4,0.001,0.66,20,0.75,500,138704397.286301,1036177.09853546
0.01,4,0.001,0.66,40,0.66,500,138715853.634775,1047844.75758321
0.01,4,0.001,0.66,20,0.66,500,138721117.447311,848788.658414526
0.01,4,0.1,0.66,20,0.66,500,138722161.666486,1007386.92719116
0.01,4,0,0.66,20,0.75,500,138743321.871825,994122.859982378
